,nTrends,nFunds,liq,sigma_P,sigma_V,maShortMin,maLongMin,bcTicksMin,entryThMin,exitThdMin,valueOffset,startSeed
0,0.2585,0.9335,0.1615,0.2245,0.5925,0.5905,0.0655,0.5385,0.2675,0.7665,0.7535000000000001,0.9995
1,0.5085,0.1935,0.4015,0.3075,0.23850000000000002,0.9975,0.6655,0.7955000000000001,0.0495,0.3435,0.4235,0.3045
2,0.9664999999999999,0.5015000000000001,0.6785000000000001,0.6815,0.8915,0.8845000000000001,0.0015,0.47950000000000004,0.3235,0.7195,0.3835,0.5315000000000001
3,0.2805,0.6465000000000001,0.6625000000000001,0.0325,0.5865,0.5445,0.23550000000000001,0.8365,0.9495,0.3235,0.7765,0.9325000000000001
4,0.3795,0.9145000000000001,0.6915,0.6234999999999999,0.2915,0.4435,0.3585,0.9355,0.5725,0.8865000000000001,0.1485,0.6255
5,0.4675,0.4485,0.41550000000000004,0.2645,0.6675,0.1315,0.1685,0.0445,0.2995,0.1275,0.6194999999999999,0.1505
6,0.8394999999999999,0.4605,0.7695000000000001,0.9415,0.3225,0.10350000000000001,0.6415,0.5225,0.0245,0.3145,0.9995,0.2735
7,0.6835,0.0605,0.1785,0.1985,0.1545,0.5195000000000001,0.0435,0.0655,0.2315,0.052500000000000005,0.8215000000000001,0.1375
8,0.8385,0.2885,0.0445,0.9185000000000001,0.5125,0.4535,0.9975,0.3735,0.6805000000000001,0.6905000000000001,0.5885,0.8345
9,0.5685,0.1555,0.3785,0.0875,0.5005,0.3685,0.6245,0.5155000000000001,0.6835,0.9265000000000001,0.7424999999999999,0.4905
10,0.9875,0.5225,0.7155,0.7995000000000001,0.8835,0.3605,0.1995,0.7424999999999999,0.5495000000000001,0.6835,0.8165,0.4615
11,0.9245000000000001,0.8574999999999999,0.9105000000000001,0.7905,0.1305,0.3435,0.5115000000000001,0.47450000000000003,0.8275000000000001,0.4635,0.8654999999999999,0.23450000000000001
12,0.6875,0.8175000000000001,0.7204999999999999,0.2315,0.7204999999999999,0.9784999999999999,0.0245,0.013500000000000002,0.5125,0.6705000000000001,0.8445,0.3545
13,0.8975,0.3325,0.9245000000000001,0.0405,0.41550000000000004,0.6615,0.8135000000000001,0.3605,0.2325,0.7384999999999999,0.8634999999999999,0.9405000000000001
14,0.8354999999999999,0.6935,0.5934999999999999,0.2655,0.20850000000000002,0.2415,0.9984999999999999,0.4545,0.4425,0.9375,0.9855,0.9935
15,0.4495,0.9205000000000001,0.4315,0.6325000000000001,0.5455000000000001,0.7815000000000001,0.4285,0.9065000000000001,0.1535,0.1105,0.9225000000000001,0.6094999999999999
16,0.2145,0.6145,0.3525,0.4875,0.1085,0.0665,0.5535000000000001,0.9475,0.7515000000000001,0.1355,0.6975,0.5455000000000001
17,0.9495,0.4965,0.3265,0.17450000000000002,0.17350000000000002,0.41150000000000003,0.23850000000000002,0.1795,0.40750000000000003,0.7885,0.34750000000000003,0.9655
18,0.3325,0.5794999999999999,0.2775,0.2505,0.7555000000000001,0.0275,0.9604999999999999,0.5894999999999999,0.14450000000000002,0.8594999999999999,0.4575,0.1765
19,0.0735,0.7565,0.40650000000000003,0.7144999999999999,0.1475,0.0965,0.2725,0.8085,0.23650000000000002,0.7505,0.3985,0.0685
20,0.1795,0.9025000000000001,0.1855,0.3635,0.7635000000000001,0.1605,0.7204999999999999,0.1405,0.9764999999999999,0.1095,0.9465000000000001,0.9525000000000001
21,0.1065,0.2615,0.5355000000000001,0.5585,0.8625,0.0735,0.9105000000000001,0.4615,0.0855,0.3605,0.5225,0.7645
22,0.7404999999999999,0.8714999999999999,0.2795,0.0235,0.9155,0.8965000000000001,0.9345000000000001,0.7995000000000001,0.8855,0.5375000000000001,0.8485,0.9205000000000001
23,0.5165,0.0685,0.0985,0.9195,0.0165,0.3245,0.9875,0.9095,0.5715000000000001,0.9455,0.1905,0.5115000000000001
24,0.6715,0.7384999999999999,0.4575,0.7725,0.6165,0.10250000000000001,0.9835,0.7324999999999999,0.3405,0.7825,0.5285,0.34750000000000003
25,0.8885000000000001,0.7275,0.8045,0.9675,0.2605,0.3565,0.8165,0.036500000000000005,0.0675,0.5055000000000001,0.9565000000000001,0.8825000000000001
26,0.3605,0.6775,0.8394999999999999,0.4215,0.5854999999999999,0.5834999999999999,0.4805,0.5745,0.1215,0.0955,0.7735000000000001,0.3945
