,nTrends,nFunds,liq,sigma_P,sigma_V,maShortMin,maLongMin,bcTicksMin,entryThMin,exitThdMin,valueOffset
0,0.245,0.383,0.891,0.007,0.885,0.659,0.075,0.581,0.067,0.781,0.739
1,0.467,0.687,0.075,0.985,0.011,0.789,0.727,0.020999999999999998,0.275,0.981,0.227
2,0.183,0.987,0.553,0.601,0.177,0.755,0.341,0.063,0.539,0.279,0.497
3,0.133,0.979,0.083,0.525,0.9450000000000001,0.645,0.875,0.777,0.779,0.10300000000000001,0.519
4,0.987,0.507,0.41500000000000004,0.637,0.587,0.529,0.807,0.835,0.889,0.789,0.10300000000000001
5,0.991,0.293,0.835,0.135,0.591,0.589,0.369,0.857,0.585,0.251,0.403
6,0.215,0.20500000000000002,0.399,0.657,0.993,0.195,0.5670000000000001,0.925,0.935,0.133,0.517
7,0.255,0.9530000000000001,0.897,0.8210000000000001,0.503,0.547,0.9410000000000001,0.527,0.785,0.397,0.465
8,0.007,0.363,0.069,0.663,0.889,0.28900000000000003,0.403,0.671,0.919,0.787,0.077
9,0.241,0.713,0.159,0.445,0.541,0.581,0.547,0.239,0.319,0.535,0.34500000000000003
10,0.28700000000000003,0.811,0.853,0.275,0.8290000000000001,0.807,0.637,0.729,0.737,0.733,0.909
11,0.227,0.303,0.6950000000000001,0.229,0.725,0.335,0.355,0.907,0.47700000000000004,0.265,0.41700000000000004
12,0.787,0.735,0.419,0.315,0.923,0.157,0.8250000000000001,0.769,0.531,0.113,0.23700000000000002
13,0.059,0.641,0.191,0.41500000000000004,0.9490000000000001,0.971,0.251,0.067,0.917,0.307,0.8250000000000001
14,0.047,0.269,0.8190000000000001,0.271,0.967,0.201,0.753,0.899,0.855,0.849,0.967
15,0.635,0.905,0.733,0.727,0.093,0.101,0.379,0.055,0.41300000000000003,0.737,0.069
16,0.5710000000000001,0.483,0.325,0.513,0.231,0.083,0.467,0.511,0.245,0.8290000000000001,0.641
17,0.965,0.445,0.765,0.40700000000000003,0.17300000000000001,0.893,0.047,0.359,0.061,0.299,0.169
18,0.521,0.917,0.679,0.333,0.245,0.109,0.495,0.277,0.593,0.519,0.445
19,0.859,0.487,0.961,0.557,0.037000000000000005,0.115,0.489,0.709,0.937,0.6930000000000001,0.883
20,0.539,0.781,0.609,0.7010000000000001,0.015,0.915,0.267,0.8190000000000001,0.993,0.647,0.6970000000000001
21,0.979,0.197,0.655,0.739,0.113,0.135,0.113,0.249,0.399,0.423,0.093
22,0.373,0.459,0.28300000000000003,0.725,0.675,0.513,0.127,0.647,0.7010000000000001,0.885,0.405
23,0.607,0.119,0.315,0.063,0.369,0.243,0.8190000000000001,0.5650000000000001,0.9430000000000001,0.323,0.055
24,0.40700000000000003,0.305,0.801,0.793,0.557,0.391,0.995,0.017,0.933,0.275,0.773
25,0.107,0.597,0.603,0.23700000000000002,0.47300000000000003,0.295,0.613,0.493,0.431,0.457,0.215
26,0.907,0.34700000000000003,0.657,0.14100000000000001,0.935,0.677,0.577,0.685,0.549,0.971,0.34900000000000003
27,0.535,0.9510000000000001,0.149,0.589,0.979,0.489,0.323,0.369,0.037000000000000005,0.779,0.495
28,0.281,0.309,0.273,0.733,0.491,0.025,0.203,0.453,0.561,0.623,0.253
29,0.111,0.8270000000000001,0.487,0.133,0.595,0.057,0.227,0.467,0.187,0.28500000000000003,0.34700000000000003
30,0.9490000000000001,0.705,0.263,0.097,0.547,0.451,0.617,0.667,0.559,0.857,0.785
31,0.899,0.07100000000000001,0.339,0.929,0.47700000000000004,0.125,0.099,0.131,0.509,0.501,0.28300000000000003
32,0.433,0.579,0.9590000000000001,0.537,0.997,0.669,0.149,0.355,0.181,0.639,0.187
33,0.199,0.263,0.779,0.613,0.611,0.351,0.201,0.015,0.215,0.909,0.303
34,0.517,0.423,0.10300000000000001,0.379,0.057,0.197,0.997,0.519,0.087,0.839,0.249
35,0.507,0.983,0.057,0.999,0.865,0.020999999999999998,0.965,0.963,0.761,0.303,0.781
36,0.6910000000000001,0.319,0.425,0.361,0.157,0.47300000000000003,0.975,0.533,0.673,0.389,0.07100000000000001
37,0.125,0.907,0.781,0.28500000000000003,0.841,0.549,0.555,0.995,0.589,0.465,0.561
38,0.5730000000000001,0.583,0.41100000000000003,0.17300000000000001,0.639,0.089,0.729,0.977,0.709,0.515,0.429
39,0.441,0.761,0.039,0.363,0.807,0.667,0.5630000000000001,0.019000000000000003,0.9450000000000001,0.41300000000000003,0.433
40,0.34700000000000003,0.591,0.037000000000000005,0.241,0.295,0.07100000000000001,0.785,0.809,0.495,0.187,0.395
41,0.127,0.001,0.9470000000000001,0.607,0.013000000000000001,0.127,0.719,0.779,0.227,0.127,0.005
42,0.8310000000000001,0.663,0.775,0.317,0.631,0.635,0.859,0.385,0.189,0.363,0.229
43,0.8230000000000001,0.763,0.097,0.8190000000000001,0.133,0.279,0.739,0.985,0.923,0.775,0.601
44,0.519,0.075,0.751,0.015,0.667,0.259,0.6890000000000001,0.455,0.8230000000000001,0.587,0.597
45,0.07100000000000001,0.189,0.295,0.093,0.343,0.077,0.327,0.397,0.851,0.503,0.743
46,0.393,0.889,0.387,0.8150000000000001,0.525,0.5670000000000001,0.10500000000000001,0.091,0.869,0.681,0.025
47,0.083,0.623,0.47700000000000004,0.753,0.685,0.9470000000000001,0.423,0.589,0.719,0.051000000000000004,0.131
48,0.931,0.14100000000000001,0.893,0.9590000000000001,0.061,0.633,0.20700000000000002,0.329,0.043,0.665,0.031
49,0.273,0.991,0.905,0.265,0.211,0.975,0.783,0.881,0.095,0.057,0.925
50,0.039,0.077,0.847,0.377,0.545,0.5630000000000001,0.465,0.803,0.437,0.293,0.20900000000000002
51,0.171,0.5650000000000001,0.377,0.5750000000000001,0.389,0.637,0.885,0.877,0.545,0.9470000000000001,0.277
52,0.321,0.28500000000000003,0.537,0.679,0.257,0.845,0.34700000000000003,0.061,0.279,0.9590000000000001,0.8150000000000001
53,0.515,0.721,0.015,0.889,0.925,0.6930000000000001,0.393,0.317,0.147,0.429,0.801
54,0.547,0.885,0.739,0.489,0.521,0.525,0.745,0.9410000000000001,0.6950000000000001,0.925,0.447
55,0.501,0.903,0.201,0.403,0.543,0.671,0.535,0.23500000000000001,0.535,0.627,0.363
56,0.14500000000000002,0.897,0.839,0.853,0.20500000000000002,0.183,0.679,0.271,0.485,0.969,0.635
57,0.663,0.353,0.093,0.605,0.487,0.843,0.593,0.175,0.165,0.137,0.525
58,0.761,0.039,0.275,0.5650000000000001,0.665,0.747,0.9470000000000001,0.5710000000000001,0.973,0.715,0.305
59,0.363,0.391,0.187,0.553,0.635,0.715,0.119,0.401,0.097,0.241,0.099
60,0.28500000000000003,0.883,0.901,0.777,0.507,0.307,0.101,0.841,0.971,0.441,0.607
61,0.341,0.14300000000000002,0.753,0.323,0.5630000000000001,0.225,0.483,0.305,0.34500000000000003,0.741,0.749
62,0.449,0.387,0.845,0.771,0.441,0.233,0.623,0.909,0.625,0.747,0.123
63,0.993,0.881,0.533,0.991,0.337,0.14500000000000002,0.299,0.23700000000000002,0.365,0.875,0.799
64,0.055,0.673,0.23700000000000002,0.269,0.273,0.509,0.545,0.217,0.9590000000000001,0.5710000000000001,0.129
65,0.919,0.669,0.20500000000000002,0.977,0.791,0.835,0.487,0.989,0.229,0.111,0.385
66,0.20500000000000002,0.449,0.257,0.319,0.327,0.303,0.9510000000000001,0.713,0.063,0.807,0.885
67,0.869,0.07300000000000001,0.41300000000000003,0.085,0.169,0.515,0.389,0.741,0.659,0.385,0.963
68,0.109,0.787,0.139,0.805,0.10500000000000001,0.559,0.991,0.879,0.213,0.075,0.859
69,0.867,0.911,0.907,0.647,0.423,0.371,0.925,0.919,0.677,0.801,0.275
70,0.231,0.23500000000000001,0.963,0.803,0.839,0.47100000000000003,0.685,0.7010000000000001,0.649,0.561,0.727
71,0.41700000000000004,0.165,0.731,0.667,0.363,0.47700000000000004,0.8290000000000001,0.9450000000000001,0.515,0.019000000000000003,0.371
72,0.669,0.329,0.185,0.003,0.8190000000000001,0.40900000000000003,0.247,0.171,0.8130000000000001,0.899,0.015
73,0.367,0.047,0.227,0.233,0.579,0.763,0.051000000000000004,0.843,0.721,0.533,0.091
74,0.9570000000000001,0.661,0.811,0.107,0.833,0.301,0.020999999999999998,0.969,0.47500000000000003,0.497,0.41500000000000004
75,0.6950000000000001,0.989,0.8150000000000001,0.261,0.217,0.271,0.643,0.229,0.353,0.685,0.9530000000000001
76,0.625,0.599,0.799,0.463,0.753,0.601,0.20500000000000002,0.331,0.315,0.783,0.125
77,0.419,0.749,0.461,0.975,0.6910000000000001,0.34500000000000003,0.8130000000000001,0.973,0.293,0.677,0.035
78,0.20900000000000002,0.161,0.511,0.6930000000000001,0.221,0.369,0.507,0.309,0.893,0.277,0.509
79,0.8210000000000001,0.757,0.721,0.629,0.581,0.913,0.463,0.057,0.343,0.125,0.637
80,0.221,0.913,0.197,0.593,0.455,0.119,0.037000000000000005,0.787,0.231,0.089,0.8290000000000001
81,0.555,0.485,0.895,0.341,0.427,0.6970000000000001,0.089,0.759,0.309,0.183,0.629
82,0.545,0.601,0.299,0.447,0.933,0.223,0.335,0.295,0.115,0.9550000000000001,0.359
83,0.755,0.421,0.9450000000000001,0.343,0.41100000000000003,0.219,0.305,0.125,0.885,0.963,0.775
84,0.397,0.655,0.645,0.559,0.425,0.5650000000000001,0.153,0.219,0.299,0.621,0.673
85,0.653,0.891,0.755,0.681,0.481,0.067,0.013000000000000001,0.135,0.843,0.239,0.9470000000000001
86,0.225,0.265,0.457,0.897,0.797,0.111,0.459,0.579,0.351,0.097,0.977
87,0.875,0.621,0.761,0.281,0.263,0.405,0.147,0.875,0.425,0.895,0.331
88,0.5750000000000001,0.707,0.045,0.131,0.255,0.23500000000000001,0.913,0.151,0.091,0.549,0.617
89,0.41500000000000004,0.533,0.483,0.355,0.6970000000000001,0.997,0.195,0.281,0.335,0.873,0.899
90,0.605,0.587,0.975,0.787,0.41500000000000004,0.005,0.367,0.133,0.07100000000000001,0.835,0.847
91,0.627,0.341,0.525,0.189,0.419,0.841,0.087,0.5750000000000001,0.117,0.065,0.351
92,0.881,0.325,0.629,0.367,0.025,0.211,0.161,0.805,0.401,0.17300000000000001,0.049
93,0.249,0.243,0.223,0.919,0.229,0.47500000000000003,0.543,0.201,0.361,0.185,0.113
94,0.913,0.837,0.115,0.049,0.219,0.737,0.531,0.961,0.687,0.28700000000000003,0.609
95,0.981,0.275,0.007,0.155,0.497,0.729,0.811,0.491,0.8310000000000001,0.361,0.491
96,0.505,0.531,0.979,0.291,0.461,0.651,0.647,0.869,0.581,0.119,0.443
97,0.343,0.027000000000000003,0.061,0.433,0.34700000000000003,0.069,0.163,0.487,0.34700000000000003,0.23700000000000002,0.579
98,0.675,0.715,0.665,0.46900000000000003,0.463,0.793,0.663,0.637,0.653,0.9410000000000001,0.171
99,0.117,0.515,0.259,0.181,0.615,0.995,0.585,0.607,0.427,0.203,0.667
100,0.087,0.297,0.091,0.935,0.315,0.8150000000000001,0.915,0.307,0.019000000000000003,0.433,0.639
101,0.279,0.295,0.653,0.797,0.031,0.339,0.457,0.807,0.621,0.791,0.437
102,0.389,0.499,0.595,0.661,0.149,0.28500000000000003,0.537,0.889,0.375,0.321,0.195
