"tick","run_0","run_1","run_2","run_3","run_4","run_5","run_6","run_7","run_8","run_9"
"1.0","4.51085950651685","4.51085950651685","4.51085950651685","4.51085950651685","4.51085950651685","4.51085950651685","4.51085950651685","4.51085950651685","4.51085950651685","4.51085950651685"
"2.0","4.777156783822558","4.308388782769619","4.608088515996886","4.723560666102861","4.444430555571698","4.096762221084948","4.329117041115131","4.865330269385024","3.8671043049989695","4.856180642004014"
"3.0","4.841856235495814","4.628914977707875","4.380260095610128","5.179341973678768","4.105027056078511","4.190196020734801","4.443454000497944","5.132789367272105","3.9736162854357384","4.488214269161254"
"4.0","5.314324509102769","4.175820990856687","4.184773805932425","5.175618950462007","4.312826496267103","4.688391556911747","4.593265061102739","5.440955417670868","4.399833381963034","5.040238872430392"
"5.0","5.8604541077365235","4.055018270315151","4.284856486070932","5.6380405247197904","4.540512073831829","4.482150475183302","4.644003120996186","5.164255090368392","4.599961871952887","5.24838909956713"
"6.0","5.869376271040561","3.728751354681184","4.2269494713298625","5.6728605191164805","4.524724090092433","4.330568819342815","4.590270866917251","5.01590281509173","3.9038538071577324","5.454504921737956"
"7.0","5.632615232185051","3.691086329599502","4.035923609758777","5.414358760866224","4.882452506849296","4.837741343474173","4.038523901094694","5.793197777231615","3.4859702056077855","5.528902740184649"
"8.0","5.681248057543156","3.1236823694788405","3.535080601619288","4.908315651350572","4.762667090962333","4.59788595670666","4.036998042288338","5.891868457229209","3.2115233422448393","5.424308343636136"
"9.0","5.601726783433706","3.547394340450943","3.3935462626327713","4.568956390543962","4.837756396308947","4.975821586419474","4.3559938231770134","5.824619930401032","2.82186853421766","5.66710988125486"
"10.0","5.432046520607951","3.9633350767314566","3.378220332172893","4.862412597905691","4.899255677857549","4.96399440310155","3.8531505452333326","5.947185668481496","3.3248724463081825","5.935144734887557"
"11.0","5.213847250549531","4.058106485074902","2.6939421013845757","5.237223605749849","5.059536671407638","4.669072863372976","3.8283857791488227","6.275720118427461","2.896866377177264","6.351747621244965"
"12.0","5.549184909700438","3.8008075290015304","2.520028833846745","5.57537978263426","5.451204677415054","4.921010499215593","4.284916059232179","6.122485128559676","3.0959784612449037","6.768189108715225"
"13.0","5.386620016514935","3.404931670466429","2.632724401813937","5.6304642556803","5.386597702627467","4.607564772759856","4.008508467205666","6.770204876035721","3.067313340192186","6.846686092672835"
"14.0","5.469171100265878","2.5527444870752154","2.4826962859692343","5.768600077215908","5.65352428498213","4.168762267918676","3.8202815985157272","6.5712441237039005","3.170680143183744","6.771583091654234"
"15.0","5.719352259537837","3.35283108235136","2.0972860193317326","6.074305224347932","5.7163939377841695","4.0367374858370315","3.4074964497018785","6.728940288774803","3.2147917311189875","6.40455889991561"
"16.0","6.229228000384803","3.8356380911943764","2.4331780721526415","5.957223009273623","5.505939621475112","3.4930909776495835","3.3874728754976546","6.88506930944407","2.779519434410536","6.238858911571059"
"17.0","6.1280718070679185","3.789900762778348","2.683582905883118","5.718129686431778","4.600908845127269","3.476954790875526","3.133581666630677","6.891608880028124","2.6308038277855847","6.133786618879663"
"18.0","6.467064249680684","3.865769508378452","3.6483754463394233","5.964249066425797","3.838120245736641","3.489020708492862","3.78907082166818","6.999676024703405","2.8360485247186498","6.0212908889280055"
"19.0","6.699349820342446","3.766920626034506","3.209407508303501","6.302947457156144","3.689891681383705","3.8268028770057287","3.981687706252883","7.279647178920803","2.1231706175993446","5.531971925308212"
"20.0","7.054585600126401","4.080988902128652","3.434746700692735","6.759126516651896","4.036443960681695","3.7117597548265167","3.895419238241241","7.304737101159593","1.811518443328068","5.440409775583447"
"21.0","6.92766929823189","4.3311235680762765","3.220495260710533","6.366795483676137","3.5600179743324505","3.696589653258532","3.4044173173204295","6.735176050169381","1.8670926785381106","5.519395702425461"
"22.0","7.259812233658465","4.523414133278897","3.067802589676461","6.767469998813531","3.676361993347474","3.749897526976059","3.8408488823362177","7.065561583327299","1.705484731538159","5.670725258373214"
"23.0","7.041150169971319","4.767281776897402","2.923163523595889","6.045661898441412","4.222732926430549","3.5131620661409633","3.5162767323302635","7.1218843293457335","1.42137035438155","5.63944937879866"
"24.0","6.7320061150715516","5.283693578136324","2.8307287498555476","5.931070339380115","4.669916618927417","3.8759561860759395","3.4401088386711183","6.851520633730077","0.8986622968198782","5.589692542328158"
"25.0","6.609663298094153","5.862049756910399","2.6061155542474284","5.291047756704345","4.674322933269214","4.120610632258079","2.913808306878053","6.974594652003343","0.4697747956165121","5.830044018727715"
"26.0","6.346421928351191","5.8142102810580445","2.3033291967887686","4.902177774091929","4.45903864432744","3.733059735779246","2.752235266426335","7.736634770846615","0.5381864996244098","6.128877553408295"
