,nTrends,nFunds,liq,sigma_V,maShortMin,maLongMin,bcTicksMin,entryThMin,exitThdMin,valueOffset
0,0.6705000000000001,0.3275,0.2275,0.6725000000000001,0.1265,0.0615,0.8334999999999999,0.1335,0.7204999999999999,0.10250000000000001
1,0.3205,0.7545,0.0575,0.9185000000000001,0.8165,0.8454999999999999,0.4985,0.8454999999999999,0.4485,0.8965000000000001
2,0.46950000000000003,0.4495,0.5794999999999999,0.3075,0.4385,0.3595,0.9195,0.2545,0.8305,0.7985
3,0.014499999999999999,0.3525,0.2805,0.6585000000000001,0.2965,0.2155,0.0975,0.2275,0.0465,0.3685
4,0.35150000000000003,0.051500000000000004,0.9935,0.5925,0.2145,0.0805,0.0175,0.2225,0.3275,0.009500000000000001
5,0.7355,0.5385,0.41150000000000003,0.3005,0.6295,0.3265,0.3105,0.9105000000000001,0.5305,0.9635
6,0.9395,0.9724999999999999,0.28350000000000003,0.8315000000000001,0.8115000000000001,0.9355,0.1475,0.7264999999999999,0.8875,0.9095
7,0.7925,0.9395,0.1895,0.9975,0.2895,0.6735,0.5435000000000001,0.9325000000000001,0.4405,0.8085
8,0.5555000000000001,0.6705000000000001,0.6315,0.7224999999999999,0.5095000000000001,0.9844999999999999,0.9844999999999999,0.8605,0.8454999999999999,0.3855
9,0.4955,0.6205,0.8005,0.7384999999999999,0.8965000000000001,0.7075,0.23450000000000001,0.4305,0.34650000000000003,0.1245
10,0.2735,0.4815,0.2945,0.1865,0.0935,0.8625,0.5735000000000001,0.6655,0.0575,0.9964999999999999
11,0.2685,0.8374999999999999,0.0475,0.3125,0.7555000000000001,0.6275,0.7835000000000001,0.0205,0.8465,0.1105
12,0.1495,0.9995,0.0235,0.6665000000000001,0.0085,0.8585,0.4275,0.14450000000000002,0.3045,0.5715000000000001
13,0.013500000000000002,0.2395,0.0975,0.2545,0.9935,0.4995,0.4525,0.2585,0.6295,0.6665000000000001
14,0.5834999999999999,0.2615,0.7935000000000001,0.9944999999999999,0.1555,0.1485,0.2575,0.7955000000000001,0.6675,0.1095
15,0.051500000000000004,0.1385,0.3095,0.009500000000000001,0.5375000000000001,0.41450000000000004,0.8115000000000001,0.4415,0.1515,0.1915
16,0.1845,0.1685,0.2095,0.5005,0.3625,0.1765,0.0895,0.4195,0.8035000000000001,0.5565
17,0.5655000000000001,0.3345,0.7955000000000001,0.3845,0.4885,0.0225,0.4415,0.9984999999999999,0.0115,0.7415
18,0.0925,0.4555,0.0535,0.5335000000000001,0.8935,0.8975,0.8605,0.6595,0.5435000000000001,0.006500000000000001
19,0.0665,0.0755,0.3275,0.7084999999999999,0.7735000000000001,0.3935,0.6595,0.8845000000000001,0.20450000000000002,0.0735
20,0.0785,0.4485,0.1455,0.7444999999999999,0.5115000000000001,0.5235000000000001,0.8955,0.7424999999999999,0.6935,0.6065
21,0.3345,0.7885,0.6025,0.34950000000000003,0.4855,0.2995,0.0825,0.47850000000000004,0.23750000000000002,0.5225
22,0.1925,0.1165,0.9345000000000001,0.8215000000000001,0.4045,0.2185,0.4365,0.8995,0.20350000000000001,0.3055
23,0.47450000000000003,0.1395,0.2685,0.3225,0.6645000000000001,0.7155,0.1555,0.4455,0.6545000000000001,0.1905
24,0.6085,0.2625,0.6985000000000001,0.4335,0.3235,0.2175,0.9835,0.0505,0.3835,0.8825000000000001
25,0.6355,0.3065,0.9185000000000001,0.0405,0.1225,0.8815,0.3765,0.46950000000000003,0.7215,0.41450000000000004
26,0.2425,0.7695000000000001,0.1305,0.34750000000000003,0.4185,0.9815,0.4035,0.4345,0.6635,0.8945000000000001
27,0.7555000000000001,0.1295,0.1865,0.7104999999999999,0.7444999999999999,0.6405000000000001,0.0585,0.8065,0.0795,0.2495
28,0.4495,0.8425,0.3305,0.7885,0.3885,0.46950000000000003,0.7424999999999999,0.10450000000000001,0.0765,0.8405
29,0.9465000000000001,0.3865,0.2735,0.9565000000000001,0.8215000000000001,0.8305,0.8025,0.6485000000000001,0.9005000000000001,0.9795
30,0.2525,0.4205,0.8225,0.2275,0.8385,0.3975,0.6114999999999999,0.9864999999999999,0.7955000000000001,0.6815
31,0.2795,0.3825,0.28250000000000003,0.4175,0.8835,0.7965,0.8665,0.6605000000000001,0.5275000000000001,0.6805000000000001
32,0.3335,0.5215000000000001,0.8185,0.0555,0.40850000000000003,0.6085,0.7735000000000001,0.4675,0.6885000000000001,0.2915
33,0.8265,0.5965,0.5985,0.5405,0.9385000000000001,0.8795,0.2025,0.8155000000000001,0.3145,0.9775
34,0.41450000000000004,0.8565,0.2765,0.3095,0.40950000000000003,0.34550000000000003,0.4555,0.3025,0.8755,0.7815000000000001
