,nTrends,nFunds,liq,sigma_V,maShortMin,maLongMin,bcTicksMin,entryThMin,exitThdMin,valueOffset
0,0.6034999999999999,0.9545000000000001,0.6325000000000001,0.2275,0.5655000000000001,0.20550000000000002,0.8135000000000001,0.3775,0.5215000000000001,0.4515
1,0.20450000000000002,0.5075000000000001,0.2005,0.5395000000000001,0.23750000000000002,0.9495,0.7255,0.5065,0.6535,0.1595
2,0.9125000000000001,0.1165,0.4435,0.7135,0.1705,0.1375,0.3545,0.0085,0.1315,0.20450000000000002
3,0.0425,0.0405,0.2015,0.6575,0.1265,0.9895,0.6715,0.8434999999999999,0.2455,0.2585
4,0.9435,0.1615,0.5155000000000001,0.9465000000000001,0.6665000000000001,0.8665,0.9255,0.0795,0.7875000000000001,0.0605
5,0.6125,0.34850000000000003,0.7395,0.1065,0.0205,0.3775,0.035500000000000004,0.5375000000000001,0.2415,0.6865000000000001
6,0.8085,0.8465,0.8205,0.9085000000000001,0.1755,0.6645000000000001,0.2465,0.1345,0.3385,0.010499999999999999
7,0.1335,0.6705000000000001,0.5045,0.9385000000000001,0.3375,0.4885,0.8665,0.6645000000000001,0.4265,0.1155
8,0.3035,0.7795000000000001,0.2965,0.2025,0.3025,0.7785,0.5385,0.9105000000000001,0.4685,0.9185000000000001
9,0.9804999999999999,0.2685,0.6785000000000001,0.6365000000000001,0.9884999999999999,0.5505,0.8765000000000001,0.5965,0.8875,0.025500000000000002
10,0.5675000000000001,0.3885,0.7235,0.1665,0.9984999999999999,0.4935,0.34750000000000003,0.7655000000000001,0.6125,0.1255
11,0.0565,0.1465,0.3185,0.2805,0.1895,0.1975,0.1065,0.4665,0.8334999999999999,0.7505
12,0.7535000000000001,0.3925,0.8115000000000001,0.2175,0.0375,0.7375,0.8605,0.9744999999999999,0.7715000000000001,0.23450000000000001
13,0.1565,0.3775,0.3745,0.1205,0.8405,0.5785,0.9964999999999999,0.1525,0.6325000000000001,0.2025
14,0.5965,0.1595,0.28750000000000003,0.2705,0.28450000000000003,0.0995,0.5735000000000001,0.4245,0.2105,0.1685
15,0.3105,0.7184999999999999,0.5105,0.1995,0.2435,0.11850000000000001,0.9744999999999999,0.6465000000000001,0.1595,0.1405
16,0.0165,0.7645,0.2545,0.4895,0.8045,0.6335,0.0925,0.9784999999999999,0.6445000000000001,0.0175
17,0.3235,0.8265,0.5485,0.2435,0.8955,0.2675,0.051500000000000004,0.2155,0.9295,0.1955
18,0.28450000000000003,0.1005,0.9015,0.2585,0.0845,0.5794999999999999,0.0685,0.5865,0.5355000000000001,0.051500000000000004
19,0.8605,0.41350000000000003,0.5115000000000001,0.1975,0.2255,0.4525,0.2295,0.9615,0.8765000000000001,0.5245
20,0.3805,0.6405000000000001,0.6465000000000001,0.8765000000000001,0.2475,0.2125,0.8975,0.1705,0.7865,0.1245
21,0.4595,0.0535,0.8985000000000001,0.6335,0.0595,0.14250000000000002,0.0955,0.0875,0.5505,0.20650000000000002
22,0.4165,0.4945,0.8614999999999999,0.7865,0.4055,0.6605000000000001,0.6525000000000001,0.051500000000000004,0.2155,0.20350000000000001
23,0.6325000000000001,0.6565000000000001,0.7715000000000001,0.4595,0.2695,0.7755000000000001,0.7495,0.5105,0.20450000000000002,0.6205
24,0.5125,0.5215000000000001,0.6615,0.47850000000000004,0.8795,0.0955,0.47250000000000003,0.0445,0.3705,0.3415
25,0.8235000000000001,0.1765,0.1705,0.1005,0.4995,0.1235,0.0975,0.7104999999999999,0.0285,0.8725
26,0.9555,0.2155,0.9175,0.1145,0.6185,0.7115,0.0755,0.7095,0.9385000000000001,0.0015
27,0.2105,0.7044999999999999,0.5355000000000001,0.9935,0.9115,0.4565,0.0305,0.9555,0.9784999999999999,0.8295000000000001
28,0.3295,0.4445,0.6094999999999999,0.9545000000000001,0.4425,0.3675,0.7905,0.0335,0.7785,0.4955
29,0.5145,0.0875,0.2985,0.5205,0.1845,0.1355,0.6194999999999999,0.1535,0.8805000000000001,0.6885000000000001
30,0.6105,0.2205,0.8885000000000001,0.6645000000000001,0.7865,0.0335,0.4455,0.1335,0.0025,0.8705
31,0.9345000000000001,0.1385,0.7595000000000001,0.8865000000000001,0.7685,0.3535,0.7115,0.1375,0.7044999999999999,0.1795
32,0.7955000000000001,0.3085,0.3015,0.7535000000000001,0.5385,0.4345,0.3575,0.6285000000000001,0.9575,0.9624999999999999
33,0.4345,0.9025000000000001,0.2025,0.5465,0.5925,0.8255000000000001,0.6375,0.4055,0.5195000000000001,0.036500000000000005
34,0.1845,0.8565,0.7304999999999999,0.20550000000000002,0.6385000000000001,0.6945000000000001,0.4185,0.34550000000000003,0.5854999999999999,0.5215000000000001
35,0.0615,0.6005,0.1575,0.6305000000000001,0.4345,0.08650000000000001,0.2155,0.2785,0.2965,0.3295
36,0.3695,0.7155,0.8454999999999999,0.2125,0.1825,0.6114999999999999,0.1525,0.1595,0.8895,0.0615
37,0.11850000000000001,0.10350000000000001,0.6655,0.8115000000000001,0.3925,0.34850000000000003,0.3895,0.08650000000000001,0.4175,0.0315
38,0.3425,0.3615,0.9755,0.3425,0.9924999999999999,0.6375,0.4485,0.4325,0.0495,0.46950000000000003
39,0.5925,0.8135000000000001,0.5275000000000001,0.5675000000000001,0.0655,0.3955,0.1355,0.7355,0.7955000000000001,0.7765
40,0.6054999999999999,0.6355,0.5545,0.3055,0.7015,0.1485,0.0605,0.2655,0.7815000000000001,0.8514999999999999
41,0.4435,0.7585,0.013500000000000002,0.7424999999999999,0.10350000000000001,0.07050000000000001,0.5625,0.7075,0.5874999999999999,0.7364999999999999
42,0.9525000000000001,0.3345,0.3715,0.5265,0.4235,0.8654999999999999,0.28750000000000003,0.5255000000000001,0.0935,0.6685000000000001
43,0.2995,0.051500000000000004,0.8365,0.2555,0.9715,0.3245,0.5175000000000001,0.4175,0.2015,0.2555
44,0.1115,0.5854999999999999,0.7384999999999999,0.3815,0.9455,0.4655,0.3765,0.9285000000000001,0.6685000000000001,0.3195
45,0.7705,0.1955,0.0595,0.0075,0.6965000000000001,0.9575,0.6865000000000001,0.41550000000000004,0.0445,0.7945
46,0.6615,0.6715,0.0585,0.7555000000000001,0.2465,0.1335,0.4435,0.9855,0.4655,0.7615000000000001
47,0.3815,0.40650000000000003,0.1295,0.08650000000000001,0.5405,0.7815000000000001,0.9435,0.5794999999999999,0.8775,0.8075000000000001
48,0.08650000000000001,0.5055000000000001,0.9735,0.5774999999999999,0.7845,0.3875,0.7785,0.1625,0.7665,0.8065
